TIMESTAMP	PAR_Den_Avg	PAR_Tot_Tot
2017-10-19 18:00:00	0.054	0.01515256
2017-10-19 19:00:00	0.057	0.2040677
2017-10-19 20:00:00	0	0
2017-10-19 21:00:00	0	0
2017-10-19 22:00:00	0	0
2017-10-19 23:00:00	0	0
2017-10-20 00:00:00	0	0
2017-10-20 01:00:00	0.074	0.2671432
2017-10-20 02:00:00	0.077	0.2786245
2017-10-20 03:00:00	0.062	0.2231409
2017-10-20 04:00:00	0.071	0.2556455
2017-10-20 05:00:00	0.075	0.2690897
2017-10-20 06:00:00	16.28	58.59346
2017-10-20 07:00:00	142.6	513.233
2017-10-20 08:00:00	450.8	1622.876
2017-10-20 09:00:00	1300	4678.378
2017-10-20 10:00:00	940	3385.044
2017-10-20 11:00:00	1847	6649.905
2017-10-20 12:00:00	1153	4151.829
2017-10-20 13:00:00	726.2	2614.318
2017-10-20 14:00:00	986	3548.125
2017-10-20 15:00:00	799.6	2878.714
2017-10-20 16:00:00	303.3	1091.77
2017-10-20 17:00:00	72.8	262.0971
2017-10-20 18:00:00	2.989	10.76016
2017-10-20 19:00:00	0.152	0.5454357
2017-10-20 20:00:00	0	0
2017-10-20 21:00:00	0	0
2017-10-20 22:00:00	0	0
2017-10-20 23:00:00	0	0
2017-10-21 00:00:00	0	0
2017-10-21 01:00:00	0.077	0.275674
2017-10-21 02:00:00	0.075	0.2683436
2017-10-21 03:00:00	0.066	0.2373078
2017-10-21 04:00:00	0.072	0.2597954
2017-10-21 05:00:00	0.075	0.2683507
2017-10-21 06:00:00	12.94	46.58902
2017-10-21 07:00:00	127.4	458.6417
2017-10-21 08:00:00	527.2	1897.819
2017-10-21 09:00:00	698.8	2515.71
2017-10-21 10:00:00	1282	4613.551
2017-10-21 11:00:00	1067	3842.831
2017-10-21 12:00:00	1155	4156.681
2017-10-21 13:00:00	1123	4044.127
2017-10-21 14:00:00	1008	3627.188
2017-10-21 15:00:00	989	3559.268
2017-10-21 16:00:00	384.2	1383.28
2017-10-21 17:00:00	82	295.3521
2017-10-21 18:00:00	3.24	11.6623
2017-10-21 19:00:00	0.06	0.2160301
2017-10-21 20:00:00	0	0
2017-10-21 21:00:00	0	0
2017-10-21 22:00:00	0	0
2017-10-21 23:00:00	0	0
2017-10-22 00:00:00	0	0.001466449
2017-10-22 01:00:00	0.078	0.2793653
2017-10-22 02:00:00	0.078	0.280597
2017-10-22 03:00:00	0.079	0.2859758
2017-10-22 04:00:00	0.082	0.2967301
2017-10-22 05:00:00	0.09	0.3228922
2017-10-22 06:00:00	65.09	234.3194
2017-10-22 07:00:00	463.5	1668.752
2017-10-22 08:00:00	1068	3843.001
2017-10-22 09:00:00	1297	4667.845
2017-10-22 10:00:00	1309	4713.604
2017-10-22 11:00:00	1471	5295.254
2017-10-22 12:00:00	1608	5788.342
2017-10-22 13:00:00	1296	4664.913
2017-10-22 14:00:00	1631	5872.411
